epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.12423,0.67829,0.64407,1,0.63306,0.0910198,1.98e-05,1.98e-05
2,7.50732,0.57641,0.62712,1,0.64624,0.0810416,4.16345e-05,4.16345e-05
3,9.54313,0.5574,0.79661,1,0.55225,0.0710633,6.32947e-05,6.32947e-05
4,11.9086,0.51955,0.84746,1,0.4823,0.0610848,8.47807e-05,8.47807e-05
5,14.2893,0.49189,0.84746,1,0.43494,0.0511061,0.000106092,0.000106092
6,16.6028,0.4122,0.81356,1,0.41846,0.0411272,0.00012723,0.00012723
7,18.4753,0.40714,0.79661,1,0.39343,0.0311482,0.000148193,0.000148193
8,20.4265,0.41781,0.79661,1,0.37952,0.021169,0.000168982,0.000168982
9,22.8969,0.34244,0.83051,1,0.35522,0.0111896,0.000189597,0.000189597
10,25.1924,0.30343,0.83051,1,0.3468,0.00121004,0.000210038,0.000210038
11,27.3101,0.26708,0.81356,1,0.33972,0.000211288,0.000211288,0.000211288
12,29.2906,0.27971,0.79661,1,0.33081,0.000210417,0.000210417,0.000210417
13,31.5558,0.2441,0.81356,1,0.33228,0.000209546,0.000209546,0.000209546
14,33.6756,0.23416,0.86441,1,0.30542,0.000208674,0.000208674,0.000208674
15,36.0612,0.24165,0.89831,1,0.31885,0.000207803,0.000207803,0.000207803
16,38.8017,0.21252,0.88136,1,0.30774,0.000206932,0.000206932,0.000206932
17,40.8753,0.19276,0.88136,1,0.28687,0.000206061,0.000206061,0.000206061
18,42.8853,0.20118,0.91525,1,0.28558,0.00020519,0.00020519,0.00020519
19,45.1359,0.22263,0.89831,1,0.28644,0.000204318,0.000204318,0.000204318
20,47.1209,0.11615,0.88136,1,0.27826,0.000203447,0.000203447,0.000203447
21,48.9849,0.1586,0.88136,1,0.25,0.000202576,0.000202576,0.000202576
22,50.9883,0.153,0.88136,1,0.26813,0.000201705,0.000201705,0.000201705
23,52.9305,0.10698,0.88136,1,0.24463,0.000200834,0.000200834,0.000200834
24,54.9052,0.15801,0.89831,1,0.25458,0.000199962,0.000199962,0.000199962
25,56.8483,0.17512,0.88136,1,0.25653,0.000199091,0.000199091,0.000199091
26,58.8219,0.13332,0.89831,1,0.26288,0.00019822,0.00019822,0.00019822
27,60.808,0.12679,0.89831,1,0.26831,0.000197349,0.000197349,0.000197349
28,62.7868,0.1741,0.89831,1,0.263,0.000196478,0.000196478,0.000196478
29,64.7048,0.08649,0.89831,1,0.23798,0.000195606,0.000195606,0.000195606
30,66.6804,0.07264,0.88136,1,0.20123,0.000194735,0.000194735,0.000194735
31,68.6735,0.1681,0.89831,1,0.22357,0.000193864,0.000193864,0.000193864
