epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.806,1.17177,3.271,1.3186,0.00333,1,0.989,0.86781,0.48474,2.82801,0.7924,0.00012,0.00012,0.00012
2,196.054,0.44138,1.49816,0.83085,0.99748,1,0.995,0.91854,0.34194,2.26443,0.76137,0.000256783,0.000256783,0.000256783
3,288.645,0.42615,1.11649,0.83454,0.99363,1,0.995,0.88639,0.37589,2.31399,0.77478,0.0003901,0.0003901,0.0003901
4,379.83,0.40317,0.94239,0.81149,0.99046,1,0.995,0.91107,0.35784,1.86679,0.76134,0.000519953,0.000519953,0.000519953
5,473.547,0.39756,0.89641,0.82743,0.99388,1,0.995,0.91637,0.34352,1.63814,0.75549,0.00064634,0.00064634,0.00064634
6,565.985,0.39365,0.86935,0.82618,0.99239,1,0.995,0.90867,0.41504,1.72253,0.75926,0.000769263,0.000769263,0.000769263
7,657.549,0.41708,0.85153,0.84357,0.99606,1,0.995,0.91786,0.42603,1.67444,0.76927,0.00088872,0.00088872,0.00088872
8,749.012,0.43124,0.84235,0.82883,0.99725,1,0.995,0.90728,0.46543,1.31432,0.79165,0.00100471,0.00100471,0.00100471
9,840.721,0.4259,0.80894,0.83461,0.99575,1,0.995,0.96092,0.2892,1.36971,0.75181,0.00111724,0.00111724,0.00111724
10,931.891,0.37501,0.73,0.81646,0.99594,1,0.995,0.94742,0.34677,1.35929,0.75672,0.0012263,0.0012263,0.0012263
11,1022.36,0.40672,0.71608,0.81631,0.9955,1,0.995,0.97036,0.36348,1.31872,0.75919,0.0013319,0.0013319,0.0013319
12,1114.07,0.40019,0.73011,0.82094,0.99725,1,0.995,0.9118,0.41333,1.17519,0.75781,0.00143403,0.00143403,0.00143403
13,1205.8,0.40592,0.78314,0.85176,0.99789,1,0.995,0.90869,0.3744,0.90265,0.75166,0.0015327,0.0015327,0.0015327
14,1297.58,0.35733,0.69284,0.81226,0.99806,1,0.995,0.90125,0.38005,0.80897,0.76108,0.0016279,0.0016279,0.0016279
15,1389.03,0.35896,0.69092,0.82754,0.9977,1,0.995,0.92785,0.39961,0.8551,0.75575,0.0016535,0.0016535,0.0016535
16,1481.88,0.33384,0.62668,0.81381,0.99704,1,0.995,0.9462,0.30276,0.68114,0.75055,0.00162875,0.00162875,0.00162875
17,1573.22,0.32576,0.61795,0.83087,0.99602,1,0.995,0.96126,0.3337,0.76226,0.75809,0.001604,0.001604,0.001604
18,1664.13,0.36301,0.57437,0.83725,0.99401,1,0.995,0.97457,0.35774,0.76801,0.75795,0.00157925,0.00157925,0.00157925
19,1755.5,0.33392,0.56763,0.81766,0.99669,1,0.995,0.91713,0.34793,0.77108,0.74886,0.0015545,0.0015545,0.0015545
20,1846.73,0.32905,0.59334,0.8183,0.99688,1,0.995,0.95403,0.2921,0.72593,0.74515,0.00152975,0.00152975,0.00152975
21,1938.15,0.3426,0.55353,0.80834,0.99682,1,0.995,0.9096,0.31586,0.67392,0.74917,0.001505,0.001505,0.001505
22,2029.26,0.32903,0.54592,0.81222,0.99738,1,0.995,0.9707,0.26327,0.57726,0.74041,0.00148025,0.00148025,0.00148025
23,2121.56,0.31307,0.5096,0.81666,0.99775,1,0.995,0.995,0.28706,0.56124,0.74492,0.0014555,0.0014555,0.0014555
