Port,CompositionID,Density (g/mL),Volume (mL)
1,ACN|100|None|0,0.786,99977.5029676464
2,H2O|100|NaNO3|10,1.18,6.812624625423738
3,EMC|100|None|0,0.9967,0.0
4,H2O|100|NaNO3|10,1.18,12.699601627118652
5,EC|100|None|0,1.0,100000.0
6,EA|100|None|0,1.0,100000.0
7,TTE|100|None|0,1.0,0.0
8,H2O|100|NaNO3|0,1.18,0.0
9,H2O|100|None|0,0.9975,15.87869275107775
