ID,Temperature (C),Date,NaNO3_Solubility (g/100mL)
0eaf1395d791d3c997064662fbb2ff8d5c2c9a8a64dde89687f4297ef0eb5913,25.5,7/5/2025 18:53,93.30769231
1435129a884b8d4e9faea6b2ddecf445aa8ab0f4bf4c1c5aa9b165e0d91f63c9,25.4,7/5/2025 20:15,99.69166667
19b34f70743132c5b06d934dcc25249f6c30beb3d432ff205e3b2df4fd5d7b82,25.6,7/7/2025 15:46,85.9625
b0b7fc53689df209d708531046d66aecdbf34da170885121fe9921d1c263031d,25.4,7/7/2025 16:12,84.27333333
c6309d1fa8ba9b58c5f44654708fc5317a7a8318739bf70825a06c27ceacba5b,25.4,7/7/2025 17:27,90.675
e76e4437f41ca59a2bc21bd1c5f5a3fa5ba19ba0959e34a2b72434a7eb11abc5,25.5,7/7/2025 18:16,87.74166667
