ID,Temperature (C),Date,ACN_mass_percentage,DME_mass_percentage,EMC_mass_percentage,NaFSI_Solubility (g/100mL)
31adafdc472aa67af4da55a733977c7f30ba310d3651e8ed4ac03405a2679685,25.6,7/11/2025 13:50,0,100,0,21.372
2463c24e2cf802c9d47115f6d3bfa23a1a078c5438b8791327822266df257703,25.6,7/14/2025 15:57,0,100,0,24.05208333
6626bc416f16dbe59f9fd10015e03bbd1be9a0a90e7a5655414e4c9e940c817e,25.4,7/14/2025 18:58,50,50,0,77.44117647
2a2677c00120552750f0ff61042c374a16bf1da6a4550b3f6fdcd131ae6897a0,25.4,7/14/2025 19:28,50,50,0,87.03636364
818e65cfc44dcbf7d751ece08bdf18865b9afd5f629ba400b3ee73e0949d91d9,25.4,7/15/2025 15:48,50,50,0,108.3
bcd5a8b68b3e34f2e24749557a7f3f64b3c78c95d2cd1f819dc1064f897f8557,25.5,7/9/2025 17:19,100,0,0,92.26363636
8681a0604964f485cef8079eae429435f4a915d3034e3aa8d070c79a52608d27,25.5,7/9/2025 17:36,100,0,0,119.5636364
df1b3b5c41a508775489eec69f77b20b2f0550f389d86f97ff9d16a58d344c15,25.6,7/9/2025 17:51,100,0,0,114.1454545
51ef2765ee7a2aa425a4ea4c79ce23d455e6f91d703629a819866288d93c53f3,25.4,7/10/2025 18:07,0,0,100,86.20833333
fc76cecccceb23b8ea6106a00c27d11ce9cd7463551562c2c26a19df87859cd6,25,7/11/2025 12:19,0,0,100,98.9
159675a92062aff1ff893d0310ef2a8b2dd7107a876f5c4bc12c31ef309e3564,25,7/11/2025 12:39,0,0,100,109.8272727
d39714fa340b6cc959aaf8942f7eb1cecf1f448ef301e46d21ddc5ff87ea6ee7,25.1,7/11/2025 12:58,0,0,100,89.16666667
8c38438eb24deee133d91be41c17cd0f90bdb69a6a0bb7130aef09320b055541,25.7,7/15/2025 16:52,0,50,50,28.69
03a2e32f76a422029ace9dc8c813ade4e12f26e65c6b25caeb9dc34fdbfcec87,25.5,7/15/2025 19:06,0,50,50,35.78095238
2b11bb07be919d497ef0a8fa797fb1c23fa176bc4b7a47e84c1c5223853fc2fb,25.6,7/15/2025 21:00,0,50,50,27.08823529
31adafdc472aa67af4da55a733977c7f30ba310d3651e8ed4ac03405a2679685,25.6,7/11/2025 13:50,0,100,0,21.372
2463c24e2cf802c9d47115f6d3bfa23a1a078c5438b8791327822266df257703,25.6,7/14/2025 15:57,0,100,0,24.05208333
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
