epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,159.803,0.01971,0.93103,1,0.29114,0.00017575,0.00017575,0.00017575
77,162.108,0.02395,0.93103,1,0.31891,0.00017476,0.00017476,0.00017476
78,164.585,0.04066,0.93103,1,0.34534,0.00017377,0.00017377,0.00017377
79,166.888,0.04337,0.93103,1,0.33765,0.00017278,0.00017278,0.00017278
80,169.533,0.05408,0.91379,1,0.32471,0.00017179,0.00017179,0.00017179
81,171.419,0.01928,0.89655,1,0.35913,0.0001708,0.0001708,0.0001708
82,173.382,0.02794,0.91379,1,0.33765,0.00016981,0.00016981,0.00016981
83,175.323,0.04336,0.89655,1,0.38422,0.00016882,0.00016882,0.00016882
84,177.217,0.03974,0.91379,1,0.36945,0.00016783,0.00016783,0.00016783
85,179.157,0.03203,0.91379,1,0.42909,0.00016684,0.00016684,0.00016684
86,181.232,0.0216,0.91379,1,0.38654,0.00016585,0.00016585,0.00016585
87,183.135,0.0535,0.86207,1,0.42529,0.00016486,0.00016486,0.00016486
88,185.308,0.02547,0.89655,1,0.427,0.00016387,0.00016387,0.00016387
89,187.243,0.0301,0.91379,1,0.37042,0.00016288,0.00016288,0.00016288
90,189.255,0.013,0.89655,1,0.42737,0.00016189,0.00016189,0.00016189
91,191.233,0.02132,0.91379,1,0.40649,0.0001609,0.0001609,0.0001609
92,193.264,0.0497,0.93103,1,0.42029,0.00015991,0.00015991,0.00015991
93,195.654,0.03842,0.91379,1,0.44226,0.00015892,0.00015892,0.00015892
94,197.772,0.01854,0.89655,1,0.50305,0.00015793,0.00015793,0.00015793
95,199.778,0.0523,0.89655,1,0.51855,0.00015694,0.00015694,0.00015694
96,201.82,0.0085,0.86207,1,0.59595,0.00015595,0.00015595,0.00015595
97,203.722,0.04383,0.84483,1,0.53601,0.00015496,0.00015496,0.00015496
98,205.707,0.06171,0.87931,1,0.48486,0.00015397,0.00015397,0.00015397
99,207.766,0.02745,0.87931,1,0.40283,0.00015298,0.00015298,0.00015298
100,210.003,0.02261,0.91379,1,0.39081,0.00015199,0.00015199,0.00015199
101,211.94,0.01295,0.93103,1,0.34363,0.000151,0.000151,0.000151
102,214.319,0.02127,0.93103,1,0.34015,0.00015001,0.00015001,0.00015001
103,216.694,0.01308,0.93103,1,0.32855,0.00014902,0.00014902,0.00014902
104,219.054,0.04025,0.93103,1,0.30222,0.00014803,0.00014803,0.00014803
105,221.403,0.0624,0.91379,1,0.32458,0.00014704,0.00014704,0.00014704
106,223.463,0.06282,0.93103,1,0.33466,0.00014605,0.00014605,0.00014605
107,226.007,0.01009,0.91379,1,0.35193,0.00014506,0.00014506,0.00014506
