epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,147.194,0.25148,0.35053,0.80725,0.99817,1,0.995,0.9735,0.23318,0.27128,0.73813,0.000911,0.000911,0.000911
46,149.854,0.23641,0.35258,0.81776,0.99815,1,0.995,0.995,0.19581,0.26291,0.7385,0.00088625,0.00088625,0.00088625
47,152.572,0.24841,0.35601,0.82209,0.99815,1,0.995,0.995,0.19488,0.26365,0.73484,0.0008615,0.0008615,0.0008615
48,155.354,0.2549,0.35608,0.79444,0.99813,1,0.995,0.995,0.18962,0.25732,0.7349,0.00083675,0.00083675,0.00083675
49,158.264,0.2628,0.36212,0.81632,0.99815,1,0.995,0.995,0.1755,0.25959,0.73444,0.000812,0.000812,0.000812
50,161.051,0.23707,0.34765,0.82043,0.99814,1,0.995,0.995,0.1904,0.2557,0.73412,0.00078725,0.00078725,0.00078725
51,163.766,0.23087,0.3228,0.80966,0.99818,1,0.995,0.995,0.16804,0.23066,0.73574,0.0007625,0.0007625,0.0007625
52,166.554,0.22894,0.3333,0.82082,0.99816,1,0.995,0.995,0.18275,0.23812,0.73794,0.00073775,0.00073775,0.00073775
53,169.281,0.23247,0.33416,0.81407,0.99815,1,0.995,0.995,0.17836,0.23616,0.73773,0.000713,0.000713,0.000713
54,171.954,0.22828,0.30809,0.81344,0.99819,1,0.995,0.995,0.16712,0.22226,0.73555,0.00068825,0.00068825,0.00068825
55,174.712,0.22271,0.3214,0.81762,0.99819,1,0.995,0.995,0.19642,0.2161,0.73602,0.0006635,0.0006635,0.0006635
56,177.395,0.21856,0.30214,0.82139,0.99817,1,0.995,0.99062,0.19168,0.23471,0.73362,0.00063875,0.00063875,0.00063875
57,179.976,0.20437,0.29901,0.79515,0.99818,1,0.995,0.99022,0.21679,0.21602,0.73395,0.000614,0.000614,0.000614
58,182.59,0.2293,0.30446,0.7873,0.99819,1,0.995,0.995,0.22892,0.24034,0.73479,0.00058925,0.00058925,0.00058925
59,185.331,0.21861,0.29606,0.80222,0.99817,1,0.995,0.995,0.18175,0.21828,0.73356,0.0005645,0.0005645,0.0005645
60,188.089,0.21571,0.29325,0.81318,0.99814,1,0.995,0.995,0.17441,0.22256,0.73549,0.00053975,0.00053975,0.00053975
61,190.819,0.22321,0.30024,0.81409,0.99815,1,0.995,0.995,0.17343,0.22416,0.73606,0.000515,0.000515,0.000515
62,193.568,0.19183,0.27854,0.79369,0.99815,1,0.995,0.995,0.18541,0.20426,0.73645,0.00049025,0.00049025,0.00049025
